;Address (CodedVal (Symbol
; Heater function configuration
0         9E        CHECKSUM
38F       00        not supported
390       00        not supported
391       00        not supported
392       00        not supported
393       00        not supported
394       00        not supported
395       00        not supported
396       00        not supported
397       00        not supported
398       00        not supported
399       00        not supported
39A       00        not supported
39B       00        not supported
39C       00        not supported
39D       00        not supported
39E       00        not supported
39F       00        not supported
3A0       00        not supported
3A1       00        not supported
3A2       00        not supported
3A3       00        not supported
3A4       00        not supported
3A5       00        not supported
3A6       00        not supported
3A7       00        not supported
3A8       00        not supported
3A9       00        not supported
3AA       00        not supported
3AB       00        not supported
3AC       00        not supported
3AD       00        not supported
3AE       00        not supported
3AF       00        not supported
3B0       00        not supported
3B1       00        not supported
3B2       00        not supported
3B3       00        not supported
3B4       00        not supported
3B5       A5        MQB_CV_TEMP_MAX_CV_FULL_POWERED_1
3B6       A5        MQB_CV_TEMP_MIN_CV_NOT_POWERED_1
3B7       A5        MQB_CV_NODE1_TEMP_1
3B8       C8        MQB_CV_NODE1_DC_1
3B9       A5        MQB_CV_NODE2_TEMP_1
3BA       C8        MQB_CV_NODE2_DC_1
3BB       A5        MQB_CV_NODE3_TEMP_1
3BC       C8        MQB_CV_NODE3_DC_1
3BD       A5        MQB_CV_NODE4_TEMP_1
3BE       C8        MQB_CV_NODE4_DC_1
3BF       A5        MQB_CV_NODE5_TEMP_1
3C0       C8        MQB_CV_NODE5_DC_1
3C1       28        MQB_CP_T_MIN_TEMP_1
3C2       78        MQB_CP_T_MIN_DC_1
3C3       72        MQB_CP_T_MAX_TEMP_1
3C4       78        MQB_CP_T_MAX_DC_1
3C5       32        MQB_CP_T_NODE1_TEMP_1
3C6       64        MQB_CP_T_NODE1_DC_1
3C7       3C        MQB_CP_T_NODE2_TEMP_1
3C8       4B        MQB_CP_T_NODE2_DC_1
3C9       68        MQB_CP_T_NODE3_TEMP_1
3CA       4B        MQB_CP_T_NODE3_DC_1
3CB       05        MQB_DP_VOLTAGE_OFFSET_1
3CC       00        not supported
3CD       00        not supported
3CE       00        not supported
3CF       00        not supported
3D0       00        not supported
3D1       00        not supported
3D2       A5        MQB_CV_TEMP_MAX_CV_FULL_POWERED_2
3D3       A5        MQB_CV_TEMP_MIN_CV_NOT_POWERED_2
3D4       A5        MQB_CV_NODE1_TEMP_2
3D5       C8        MQB_CV_NODE1_DC_2
3D6       A5        MQB_CV_NODE2_TEMP_2
3D7       C8        MQB_CV_NODE2_DC_2
3D8       A5        MQB_CV_NODE3_TEMP_2
3D9       C8        MQB_CV_NODE3_DC_2
3DA       A5        MQB_CV_NODE4_TEMP_2
3DB       C8        MQB_CV_NODE4_DC_2
3DC       A5        MQB_CV_NODE5_TEMP_2
3DD       C8        MQB_CV_NODE5_DC_2
3DE       28        MQB_CP_T_MIN_TEMP_2
3DF       78        MQB_CP_T_MIN_DC_2
3E0       72        MQB_CP_T_MAX_TEMP_2
3E1       78        MQB_CP_T_MAX_DC_2
3E2       32        MQB_CP_T_NODE1_TEMP_2
3E3       64        MQB_CP_T_NODE1_DC_2
3E4       3C        MQB_CP_T_NODE2_TEMP_2
3E5       4B        MQB_CP_T_NODE2_DC_2
3E6       68        MQB_CP_T_NODE3_TEMP_2
3E7       4B        MQB_CP_T_NODE3_DC_2
3E8       05        MQB_DP_VOLTAGE_OFFSET_2
3E9       00        not supported
3EA       00        not supported
3EB       00        not supported
3EC       00        not supported
3ED       00        not supported
3EE       00        not supported
3EF       A5        MQB_CV_TEMP_MAX_CV_FULL_POWERED_3
3F0       A5        MQB_CV_TEMP_MIN_CV_NOT_POWERED_3
3F1       A5        MQB_CV_NODE1_TEMP_3
3F2       C8        MQB_CV_NODE1_DC_3
3F3       A5        MQB_CV_NODE2_TEMP_3
3F4       C8        MQB_CV_NODE2_DC_3
3F5       A5        MQB_CV_NODE3_TEMP_3
3F6       C8        MQB_CV_NODE3_DC_3
3F7       A5        MQB_CV_NODE4_TEMP_3
3F8       C8        MQB_CV_NODE4_DC_3
3F9       A5        MQB_CV_NODE5_TEMP_3
3FA       C8        MQB_CV_NODE5_DC_3
3FB       28        MQB_CP_T_MIN_TEMP_3
3FC       78        MQB_CP_T_MIN_DC_3
3FD       72        MQB_CP_T_MAX_TEMP_3
3FE       78        MQB_CP_T_MAX_DC_3
3FF       32        MQB_CP_T_NODE1_TEMP_3
400       64        MQB_CP_T_NODE1_DC_3
401       3C        MQB_CP_T_NODE2_TEMP_3
402       4B        MQB_CP_T_NODE2_DC_3
403       68        MQB_CP_T_NODE3_TEMP_3
404       4B        MQB_CP_T_NODE3_DC_3
405       05        MQB_DP_VOLTAGE_OFFSET_3
406       00        not supported
407       00        not supported
408       00        not supported
409       00        not supported
40A       00        not supported
40B       00        not supported
40C       A5        MQB_CV_TEMP_MAX_CV_FULL_POWERED_4
40D       A5        MQB_CV_TEMP_MIN_CV_NOT_POWERED_4
40E       A5        MQB_CV_NODE1_TEMP_4
40F       C8        MQB_CV_NODE1_DC_4
410       A5        MQB_CV_NODE2_TEMP_4
411       C8        MQB_CV_NODE2_DC_4
412       A5        MQB_CV_NODE3_TEMP_4
413       C8        MQB_CV_NODE3_DC_4
414       A5        MQB_CV_NODE4_TEMP_4
415       C8        MQB_CV_NODE4_DC_4
416       A5        MQB_CV_NODE5_TEMP_4
417       C8        MQB_CV_NODE5_DC_4
418       28        MQB_CP_T_MIN_TEMP_4
419       78        MQB_CP_T_MIN_DC_4
41A       72        MQB_CP_T_MAX_TEMP_4
41B       78        MQB_CP_T_MAX_DC_4
41C       32        MQB_CP_T_NODE1_TEMP_4
41D       64        MQB_CP_T_NODE1_DC_4
41E       3C        MQB_CP_T_NODE2_TEMP_4
41F       4B        MQB_CP_T_NODE2_DC_4
420       68        MQB_CP_T_NODE3_TEMP_4
421       4B        MQB_CP_T_NODE3_DC_4
422       05        MQB_DP_VOLTAGE_OFFSET_4
423       00        not supported
424       00        not supported
425       00        not supported
426       00        not supported
427       00        not supported
428       00        not supported
429       A5        MQB_CV_TEMP_MAX_CV_FULL_POWERED_5
42A       A5        MQB_CV_TEMP_MIN_CV_NOT_POWERED_5
42B       A5        MQB_CV_NODE1_TEMP_5
42C       C8        MQB_CV_NODE1_DC_5
42D       A5        MQB_CV_NODE2_TEMP_5
42E       C8        MQB_CV_NODE2_DC_5
42F       A5        MQB_CV_NODE3_TEMP_5
430       C8        MQB_CV_NODE3_DC_5
431       A5        MQB_CV_NODE4_TEMP_5
432       C8        MQB_CV_NODE4_DC_5
433       A5        MQB_CV_NODE5_TEMP_5
434       C8        MQB_CV_NODE5_DC_5
435       28        MQB_CP_T_MIN_TEMP_5
436       78        MQB_CP_T_MIN_DC_5
437       72        MQB_CP_T_MAX_TEMP_5
438       78        MQB_CP_T_MAX_DC_5
439       32        MQB_CP_T_NODE1_TEMP_5
43A       64        MQB_CP_T_NODE1_DC_5
43B       3C        MQB_CP_T_NODE2_TEMP_5
43C       4B        MQB_CP_T_NODE2_DC_5
43D       68        MQB_CP_T_NODE3_TEMP_5
43E       4B        MQB_CP_T_NODE3_DC_5
43F       05        MQB_DP_VOLTAGE_OFFSET_5
440       00        not supported
441       00        not supported
442       00        not supported
443       00        not supported
444       00        not supported
445       00        not supported
446       A5        MQB_CV_TEMP_MAX_CV_FULL_POWERED_6
447       A5        MQB_CV_TEMP_MIN_CV_NOT_POWERED_6
448       A5        MQB_CV_NODE1_TEMP_6
449       C8        MQB_CV_NODE1_DC_6
44A       A5        MQB_CV_NODE2_TEMP_6
44B       C8        MQB_CV_NODE2_DC_6
44C       A5        MQB_CV_NODE3_TEMP_6
44D       C8        MQB_CV_NODE3_DC_6
44E       A5        MQB_CV_NODE4_TEMP_6
44F       C8        MQB_CV_NODE4_DC_6
450       A5        MQB_CV_NODE5_TEMP_6
451       C8        MQB_CV_NODE5_DC_6
452       28        MQB_CP_T_MIN_TEMP_6
453       78        MQB_CP_T_MIN_DC_6
454       72        MQB_CP_T_MAX_TEMP_6
455       78        MQB_CP_T_MAX_DC_6
456       32        MQB_CP_T_NODE1_TEMP_6
457       64        MQB_CP_T_NODE1_DC_6
458       3C        MQB_CP_T_NODE2_TEMP_6
459       4B        MQB_CP_T_NODE2_DC_6
45A       68        MQB_CP_T_NODE3_TEMP_6
45B       4B        MQB_CP_T_NODE3_DC_6
45C       05        MQB_DP_VOLTAGE_OFFSET_6
45D       00        not supported
45E       00        not supported
45F       00        not supported
460       00        not supported
461       00        not supported
462       00        not supported
463       00        not supported
464       00        not supported
465       00        not supported
466       00        not supported
467       00        not supported
468       00        not supported
469       00        not supported
46A       00        not supported
46B       00        not supported
46C       00        not supported
46D       00        not supported
46E       00        not supported
46F       00        not supported
470       00        not supported
471       00        not supported
472       00        not supported
473       00        not supported
474       00        not supported
475       00        not supported
476       00        not supported
477       00        not supported
478       00        not supported
479       00        not supported
47A       00        not supported
47B       00        not supported
47C       00        not supported
47D       00        not supported
47E       00        not supported
47F       00        not supported
480       00        not supported
481       00        not supported
482       00        not supported
483       00        not supported
484       00        not supported
485       00        not supported
486       00        not supported
487       00        not supported
488       00        not supported
489       00        not supported
48A       00        not supported
48B       00        not supported
48C       00        not supported
48D       00        not supported
48E       00        not supported
48F       00        not supported
490       00        not supported
491       00        not supported
492       00        not supported
493       00        not supported
494       00        not supported
495       00        not supported
496       00        not supported
497       00        not supported
498       00        not supported
499       00        not supported
49A       00        not supported
49B       00        not supported
49C       00        not supported
49D       00        not supported
49E       00        not supported
49F       00        not supported
4A0       00        not supported
4A1       00        not supported
4A2       00        not supported
4A3       00        not supported
4A4       00        not supported
4A5       00        not supported
4A6       00        not supported
4A7       00        not supported
4A8       00        not supported
4A9       00        not supported
4AA       00        not supported
4AB       00        not supported
4AC       00        not supported
4AD       00        not supported
4AE       00        not supported
4AF       00        not supported
4B0       00        not supported
4B1       00        not supported
4B2       00        not supported
4B3       00        CORE_RT_FLAGS_0
4B4       00        COUNTER_OVERHEATING
4B5       00        COUNTER_STARTS_WITH_R_REF
4B6       00        COUNTER_GLOW_CYCLES
4B7       5E        R_REF
4B8       00        COUNTER_R_REF_MEASUREMENTS
4B9       00        COUNTER_TEMPORARY_INTERLOCKS
4BA       00        COUNTER_STARTS_LOW
4BB       00        COUNTER_STARTS_HIGH
4BC       96        CO2_CORR
4BD       1C        R_25
4BE       71        U_LO
4BF       28        T_U_LO
4C0       AA        U_HI
4C1       0A        T_U_HI
4C2       69        U_LO_GP_ACTIVE
4C3       28        T_U_LO_GP_ACTIVE
4C4       00        COUNTER_START_EXIT_PAUSE
4C5       00        CONFIG_BYTE_1_CURRENT
4C6       00        CONFIG_BYTE_2_CURRENT
4C7       00        CONFIG_BYTE_3_CURRENT
4C8       00        CONFIG_BYTE_4_CURRENT
4C9       00        not supported
4CA       00        not supported
4CB       00        not supported
4CC       00        not supported
4CD       00        not supported
4CE       00        not supported
4CF       00        not supported
4D0       00        not supported
4D1       00        not supported
4D2       00        not supported
4D3       00        not supported
4D4       00        not supported
4D5       00        not supported
4D6       00        not supported
4D7       00        not supported
4D8       00        not supported
4D9       00        not supported
4DA       00        not supported
4DB       00        not supported
4DC       00        not supported
4DD       00        not supported
4DE       00        not supported
4DF       00        not supported
4E0       00        not supported
4E1       00        not supported
4E2       00        not supported
4E3       00        not supported
4E4       00        not supported
4E5       00        not supported
4E6       00        not supported
4E7       00        not supported
4E8       00        not supported
4E9       00        not supported
4EA       00        not supported
4EB       00        not supported
4EC       00        not supported
4ED       00        not supported
4EE       00        not supported
4EF       00        not supported
4F0       00        not supported
4F1       00        not supported
4F2       00        not supported
4F3       00        not supported
4F4       00        COUNTER_CP_SHORT_CIRCUIT
4F5       01        NO_CP_SHORT_CIRCUIT_MAX
4F6       00        not supported
4F7       00        not supported
4F8       00        not supported
4F9       00        not supported
4FA       00        not supported
4FB       00        not supported
4FC       00        not supported
4FD       00        not supported
4FE       00        not supported
4FF       00        not supported
500       00        not supported
501       00        not supported
502       00        not supported
503       00        not supported
504       00        not supported
505       00        not supported
506       00        not supported
507       00        not supported
508       00        not supported
509       00        not supported
50A       00        not supported
50B       00        not supported
50C       00        not supported
50D       00        not supported
50E       00        not supported
50F       00        not supported
510       00        not supported
511       00        not supported
512       00        not supported
513       00        not supported
514       00        not supported
515       00        not supported
516       00        not supported
517       00        not supported
518       00        not supported
519       00        not supported
51A       00        not supported
51B       00        not supported
51C       00        not supported
51D       00        not supported
51E       00        not supported
51F       00        not supported
520       00        not supported
521       00        not supported
522       00        not supported
523       00        not supported
524       00        not supported
525       00        not supported
526       00        not supported
527       00        not supported
528       00        not supported
529       00        not supported
52A       00        not supported
52B       00        not supported
52C       00        not supported
52D       00        not supported
52E       00        not supported
52F       00        not supported
530       00        not supported
531       00        not supported
532       00        not supported
533       00        not supported
534       00        not supported
535       00        not supported
536       00        not supported
537       00        not supported
538       00        not supported
539       00        not supported
53A       00        not supported
53B       00        not supported
53C       00        not supported
53D       00        not supported
53E       00        not supported
53F       00        not supported
540       00        not supported
541       00        not supported
542       00        not supported
543       00        not supported
544       00        not supported
545       00        not supported
546       00        not supported
547       00        not supported
548       00        not supported
549       00        not supported
54A       00        not supported
54B       00        not supported
54C       00        not supported
54D       00        not supported
54E       00        not supported
54F       00        not supported
550       00        not supported
551       00        not supported
552       00        not supported
553       00        not supported
554       00        not supported
555       00        not supported
556       00        not supported
557       00        not supported
558       00        not supported
559       00        not supported
55A       00        not supported
55B       00        not supported
55C       00        not supported
55D       00        not supported
55E       00        not supported
55F       00        not supported
560       00        not supported
561       00        not supported
562       00        not supported
563       00        not supported
564       00        not supported
565       00        not supported
566       00        not supported
567       00        not supported
568       00        not supported
569       00        not supported
56A       00        not supported
56B       00        not supported
56C       00        not supported
56D       00        not supported
56E       00        not supported
56F       00        not supported
570       00        not supported
571       00        not supported
572       00        not supported
573       00        not supported
574       00        not supported
575       00        not supported
576       00        not supported
577       00        not supported
578       00        not supported
579       00        not supported
57A       00        not supported
57B       00        not supported
57C       00        not supported
57D       00        not supported
57E       00        not supported
57F       00        not supported
580       00        not supported
581       00        not supported
582       00        not supported
583       00        not supported
584       00        not supported
585       00        not supported
586       00        not supported
587       00        not supported
588       00        not supported
589       00        not supported
58A       00        not supported
58B       00        not supported
58C       00        not supported
58D       00        not supported
58E       00        not supported
58F       00        not supported
590       00        not supported
591       00        not supported
592       00        not supported
593       00        not supported
594       00        not supported
595       00        not supported
596       00        not supported
597       00        not supported
598       00        not supported
599       00        not supported
59A       00        not supported
59B       00        not supported
59C       00        not supported
59D       00        not supported
59E       00        not supported
59F       00        not supported
5A0       00        not supported
5A1       00        not supported
5A2       00        not supported
5A3       00        not supported
5A4       00        not supported
5A5       00        not supported
5A6       00        not supported
5A7       00        not supported
5A8       00        not supported
5A9       00        not supported
5AA       00        not supported
5AB       00        not supported
5AC       00        not supported
5AD       00        not supported
5AE       00        not supported
5AF       00        not supported
5B0       00        not supported
5B1       00        not supported
5B2       00        not supported
5B3       00        not supported
5B4       00        not supported
5B5       00        not supported
5B6       00        not supported
5B7       1E        MQB_T_HEAT_MIN
5B8       04        MQB_T_HEAT_MIN_TEMP_RTO
5B9       07        MQB_ADJUST_GLOBAL_VAR
5BA       6E        MQB_AT_MAX_AH_ON
5BB       7C        MQB_AT_AH_OFF
5BC       06        MQB_AT_HYSTERESIS_NAR
5BD       FF        MQB_CP_RPM_MOT_MAX_CP_POWERED
5BE       71        MQB_LV_THRESHOLD_OP_NORMAL
5BF       28        MQB_LV_T_QUAL_OP_NORMAL
5C0       0A        MQB_EKP_DELAY
5C1       14        MQB_CP_EXT_TEMP_MIN
5C2       1E        MQB_CP_EXT_T_MIN
5C3       24        MQB_CP_EXT_T_MAX
5C4       01        MQB_CP_NO_SHORT_CIRCUIT_MAX
5C5       8C        MQB_Knockout_Tmr_1
5C6       14        MQB_Knockout_Tmr_2
5C7       B4        MQB_LoVoBo_Tmr
5C8       00        not supported
5C9       00        not supported
5CA       00        not supported
5CB       00        not supported
5CC       00        not supported
5CD       00        not supported
5CE       00        not supported
5CF       00        not supported
5D0       19        MQB_ADJUST_VARIANT_1
5D1       70        MQB_TEMP_MOT_MIN_AH_ON_1
5D2       80        MQB_TEMP_MOT_MAX_AH_OFF_1
5D3       05        MQB_CV_DIFF_TEMP_COOLANT_1
5D4       28        MQB_CV_RPM_MOT_MIN_CV_NOT_POWERED_1
5D5       5F        MQB_CV_TEMP_MIN_USE_REMAINING_HEAT_1
5D6       7F        MQB_EKP_MIN_FUEL_LEVEL_EKP_OFF_1
5D7       0A        MQB_EKP_FUEL_CONSUMPTION_FOR_ACTIVATION_1
5D8       0F        MQB_EKP_ACTIVATION_DURATION_1
5D9       00        MQB_EKP_MIN_ACTIVATION_PERIOD_1
5DA       55        MQB_TEMP_VF_ON_1
5DB       80        MQB_HEAT_TEMP_RTO_1
5DC       64        MQB_HEAT_TEMP_RTU_1
5DD       7A        MQB_HEAT_TEMP_TLO_1
5DE       62        MQB_HEAT_TEMP_TLU_1
5DF       80        MQB_HEAT_TEMP_RTOZ_1
5E0       74        MQB_HEAT_TEMP_RTUZ_1
5E1       7C        MQB_HEAT_TEMP_TLOZ_1
5E2       72        MQB_HEAT_TEMP_TLUZ_1
5E3       7A        MQB_TEMP_HEAT_OUTPUT_PH_1
5E4       7A        MQB_TEMP_HEAT_OUTPUT_AH_1
5E5       00        not supported
5E6       00        not supported
5E7       00        not supported
5E8       00        not supported
5E9       00        not supported
5EA       00        not supported
5EB       00        not supported
5EC       00        not supported
5ED       18        MQB_ADJUST_VARIANT_2
5EE       70        MQB_TEMP_MOT_MIN_AH_ON_2
5EF       80        MQB_TEMP_MOT_MAX_AH_OFF_2
5F0       05        MQB_CV_DIFF_TEMP_COOLANT_2
5F1       28        MQB_CV_RPM_MOT_MIN_CV_NOT_POWERED_2
5F2       5F        MQB_CV_TEMP_MIN_USE_REMAINING_HEAT_2
5F3       7F        MQB_EKP_MIN_FUEL_LEVEL_EKP_OFF_2
5F4       0A        MQB_EKP_FUEL_CONSUMPTION_FOR_ACTIVATION_2
5F5       0F        MQB_EKP_ACTIVATION_DURATION_2
5F6       00        MQB_EKP_MIN_ACTIVATION_PERIOD_2
5F7       5A        MQB_TEMP_VF_ON_2
5F8       7C        MQB_HEAT_TEMP_RTO_2
5F9       5B        MQB_HEAT_TEMP_RTU_2
5FA       71        MQB_HEAT_TEMP_TLO_2
5FB       58        MQB_HEAT_TEMP_TLU_2
5FC       80        MQB_HEAT_TEMP_RTOZ_2
5FD       74        MQB_HEAT_TEMP_RTUZ_2
5FE       7C        MQB_HEAT_TEMP_TLOZ_2
5FF       72        MQB_HEAT_TEMP_TLUZ_2
600       73        MQB_TEMP_HEAT_OUTPUT_PH_2
601       78        MQB_TEMP_HEAT_OUTPUT_AH_2
602       00        not supported
603       00        not supported
604       00        not supported
605       00        not supported
606       00        not supported
607       00        not supported
608       00        not supported
609       00        not supported
60A       13        MQB_ADJUST_VARIANT_3
60B       70        MQB_TEMP_MOT_MIN_AH_ON_3
60C       80        MQB_TEMP_MOT_MAX_AH_OFF_3
60D       05        MQB_CV_DIFF_TEMP_COOLANT_3
60E       28        MQB_CV_RPM_MOT_MIN_CV_NOT_POWERED_3
60F       5F        MQB_CV_TEMP_MIN_USE_REMAINING_HEAT_3
610       7F        MQB_EKP_MIN_FUEL_LEVEL_EKP_OFF_3
611       0A        MQB_EKP_FUEL_CONSUMPTION_FOR_ACTIVATION_3
612       0F        MQB_EKP_ACTIVATION_DURATION_3
613       00        MQB_EKP_MIN_ACTIVATION_PERIOD_3
614       5A        MQB_TEMP_VF_ON_3
615       7C        MQB_HEAT_TEMP_RTO_3
616       5B        MQB_HEAT_TEMP_RTU_3
617       71        MQB_HEAT_TEMP_TLO_3
618       58        MQB_HEAT_TEMP_TLU_3
619       80        MQB_HEAT_TEMP_RTOZ_3
61A       74        MQB_HEAT_TEMP_RTUZ_3
61B       7C        MQB_HEAT_TEMP_TLOZ_3
61C       72        MQB_HEAT_TEMP_TLUZ_3
61D       73        MQB_TEMP_HEAT_OUTPUT_PH_3
61E       7A        MQB_TEMP_HEAT_OUTPUT_AH_3
61F       00        not supported
620       00        not supported
621       00        not supported
622       00        not supported
623       00        not supported
624       00        not supported
625       00        not supported
626       00        not supported
627       12        MQB_ADJUST_VARIANT_4
628       70        MQB_TEMP_MOT_MIN_AH_ON_4
629       80        MQB_TEMP_MOT_MAX_AH_OFF_4
62A       05        MQB_CV_DIFF_TEMP_COOLANT_4
62B       28        MQB_CV_RPM_MOT_MIN_CV_NOT_POWERED_4
62C       5F        MQB_CV_TEMP_MIN_USE_REMAINING_HEAT_4
62D       7F        MQB_EKP_MIN_FUEL_LEVEL_EKP_OFF_4
62E       0A        MQB_EKP_FUEL_CONSUMPTION_FOR_ACTIVATION_4
62F       0F        MQB_EKP_ACTIVATION_DURATION_4
630       00        MQB_EKP_MIN_ACTIVATION_PERIOD_4
631       5A        MQB_TEMP_VF_ON_4
632       7C        MQB_HEAT_TEMP_RTO_4
633       5B        MQB_HEAT_TEMP_RTU_4
634       71        MQB_HEAT_TEMP_TLO_4
635       58        MQB_HEAT_TEMP_TLU_4
636       80        MQB_HEAT_TEMP_RTOZ_4
637       74        MQB_HEAT_TEMP_RTUZ_4
638       7C        MQB_HEAT_TEMP_TLOZ_4
639       72        MQB_HEAT_TEMP_TLUZ_4
63A       73        MQB_TEMP_HEAT_OUTPUT_PH_4
63B       78        MQB_TEMP_HEAT_OUTPUT_AH_4
63C       00        not supported
63D       00        not supported
63E       00        not supported
63F       00        not supported
640       00        not supported
641       00        not supported
642       00        not supported
643       00        not supported
644       10        MQB_ADJUST_VARIANT_5
645       70        MQB_TEMP_MOT_MIN_AH_ON_5
646       80        MQB_TEMP_MOT_MAX_AH_OFF_5
647       05        MQB_CV_DIFF_TEMP_COOLANT_5
648       28        MQB_CV_RPM_MOT_MIN_CV_NOT_POWERED_5
649       5F        MQB_CV_TEMP_MIN_USE_REMAINING_HEAT_5
64A       7F        MQB_EKP_MIN_FUEL_LEVEL_EKP_OFF_5
64B       0A        MQB_EKP_FUEL_CONSUMPTION_FOR_ACTIVATION_5
64C       0F        MQB_EKP_ACTIVATION_DURATION_5
64D       00        MQB_EKP_MIN_ACTIVATION_PERIOD_5
64E       55        MQB_TEMP_VF_ON_5
64F       80        MQB_HEAT_TEMP_RTO_5
650       64        MQB_HEAT_TEMP_RTU_5
651       7A        MQB_HEAT_TEMP_TLO_5
652       62        MQB_HEAT_TEMP_TLU_5
653       80        MQB_HEAT_TEMP_RTOZ_5
654       74        MQB_HEAT_TEMP_RTUZ_5
655       7C        MQB_HEAT_TEMP_TLOZ_5
656       72        MQB_HEAT_TEMP_TLUZ_5
657       7A        MQB_TEMP_HEAT_OUTPUT_PH_5
658       7A        MQB_TEMP_HEAT_OUTPUT_AH_5
659       00        not supported
65A       00        not supported
65B       00        not supported
65C       00        not supported
65D       00        not supported
65E       00        not supported
65F       00        not supported
660       00        not supported
661       10        MQB_ADJUST_VARIANT_6
662       70        MQB_TEMP_MOT_MIN_AH_ON_6
663       80        MQB_TEMP_MOT_MAX_AH_OFF_6
664       05        MQB_CV_DIFF_TEMP_COOLANT_6
665       28        MQB_CV_RPM_MOT_MIN_CV_NOT_POWERED_6
666       5F        MQB_CV_TEMP_MIN_USE_REMAINING_HEAT_6
667       7F        MQB_EKP_MIN_FUEL_LEVEL_EKP_OFF_6
668       0A        MQB_EKP_FUEL_CONSUMPTION_FOR_ACTIVATION_6
669       0F        MQB_EKP_ACTIVATION_DURATION_6
66A       00        MQB_EKP_MIN_ACTIVATION_PERIOD_6
66B       5A        MQB_TEMP_VF_ON_6
66C       7C        MQB_HEAT_TEMP_RTO_6
66D       5B        MQB_HEAT_TEMP_RTU_6
66E       71        MQB_HEAT_TEMP_TLO_6
66F       58        MQB_HEAT_TEMP_TLU_6
670       80        MQB_HEAT_TEMP_RTOZ_6
671       74        MQB_HEAT_TEMP_RTUZ_6
672       7C        MQB_HEAT_TEMP_TLOZ_6
673       72        MQB_HEAT_TEMP_TLUZ_6
674       73        MQB_TEMP_HEAT_OUTPUT_PH_6
675       78        MQB_TEMP_HEAT_OUTPUT_AH_6
676       00        not supported
677       00        not supported
678       00        not supported
679       00        not supported
67A       00        not supported
67B       00        not supported
67C       00        not supported
67D       00        not supported
67E       03        MQB_CONFIG_CODING_BYTE_1
67F       04        MQB_CONFIG_CODING_BYTE_2
680       00        MQB_RTP_FLAGS_EOL
681       AA        MQB_WBUS_SH
682       01        MQB_AM_PATH
683       B4        MQB_Laufzeitbegrenzung_Tmr
684       01        MQB_Laufzeitbegrenzung_aktiv
685       00        MQB_Laufzeitbegrenzung_CNT
686       AA        MQB_PROD_OEM_FSP_LOCK_0
687       AA        MQB_PROD_OEM_FSP_LOCK_1
688       AA        MQB_PROD_OEM_FSP_LOCK_2
689       AA        MQB_PROD_OEM_FSP_LOCK_3
68A       00        not supported
68B       00        not supported
68C       00        not supported
68D       00        not supported
68E       00        not supported
68F       00        not supported
690       00        not supported
691       00        not supported
692       00        not supported
693       00        not supported
694       00        not supported
695       00        not supported
696       00        not supported
697       00        not supported
698       00        not supported
699       00        not supported
69A       00        not supported
69B       35        MQB_ECU_HW_NUMBER_00
69C       51        MQB_ECU_HW_NUMBER_01
69D       30        MQB_ECU_HW_NUMBER_02
69E       39        MQB_ECU_HW_NUMBER_03
69F       36        MQB_ECU_HW_NUMBER_04
6A0       33        MQB_ECU_HW_NUMBER_05
6A1       32        MQB_ECU_HW_NUMBER_06
6A2       37        MQB_ECU_HW_NUMBER_07
6A3       32        MQB_ECU_HW_NUMBER_08
6A4       48        MQB_ECU_HW_NUMBER_09
6A5       20        MQB_ECU_HW_NUMBER_10
6A6       30        MQB_ECU_HW_VERSION_NUMBER_00
6A7       30        MQB_ECU_HW_VERSION_NUMBER_01
6A8       38        MQB_ECU_HW_VERSION_NUMBER_02
6A9       00        not supported
6AA       00        not supported
6AB       00        not supported
6AC       00        not supported
6AD       00        not supported
6AE       00        not supported
6AF       00        not supported
6B0       00        not supported
6B1       00        not supported
6B2       00        not supported
6B3       00        not supported
6B4       00        not supported
6B5       00        not supported
6B6       00        not supported
6B7       00        not supported
